"question","answer"
"How many books can I issue?","Students can issue up to 5 books at a time. Faculty members can issue up to 10 books."
"What is the fine for late return?","The late return fine is 2 rupees per book per day after the due date."
"How do I renew a book?","You can renew a book from your library account online or by visiting the circulation desk before the due date."
"What are library timings?","The library is open Monday to Saturday from 8:00 AM to 8:00 PM and Sunday from 10:00 AM to 4:00 PM."
"Can I reserve a book online?","Yes. Log in to the library portal, search for the book, and click Reserve if the option is available."
"How can I obtain a library card?","Submit your student or staff ID at the library help desk and complete the membership form to receive a library card."
"What happens if a book is lost?","Report the lost book immediately. You may need to replace the book or pay its current cost plus processing charges."
"How do I search for books?","Use the online catalog by entering the title, author, subject, ISBN, or keywords related to the book."
"Can I issue reference books?","Reference books can usually be used only inside the library and are not issued for home reading."
"How long can I keep issued books?","Students can keep issued books for 14 days. Faculty loan periods may be longer depending on library policy."
"Can I borrow journals or magazines?","Current journals and magazines are for in-library reading only. Older bound volumes may be issued with permission."
"How do I pay library fines?","Library fines can be paid at the circulation counter using cash or approved digital payment methods."
"Can I use the library without a card?","You can enter with a valid institutional ID, but book issue services require a library card."
"What should I do if my library card is lost?","Report the lost card to the library immediately and apply for a duplicate card at the help desk."
"Is Wi-Fi available in the library?","Yes. Wi-Fi is available for registered students and staff using institutional login credentials."
"Are group study rooms available?","Yes. Group study rooms can be booked online or at the help desk based on availability."
"Can I bring my own laptop?","Yes. You may bring your own laptop and use designated charging points and Wi-Fi facilities."
"Is food allowed inside the library?","Food is not allowed inside reading areas. Covered water bottles are usually permitted."
"Can I print documents in the library?","Yes. Printing and photocopying services are available near the circulation area for a nominal charge."
"How do I access e-books?","Log in to the digital library portal with your institutional credentials and open the e-books section."
"How do I access online journals?","Online journals are available through the e-resources page on the library portal using campus login."
"Can alumni use the library?","Alumni access depends on institutional policy. Please contact the librarian for membership details."
"How do I suggest a book for purchase?","Fill out the book recommendation form on the library portal or submit a request at the help desk."
"Can I donate books to the library?","Yes. Book donations are accepted after review by the library committee."
"What is the maximum renewal limit?","A book can usually be renewed twice if no other user has reserved it."
"Why can't I renew my book?","Renewal may be blocked if the book is overdue, reserved by another user, or has reached the renewal limit."
"How do I check my due date?","Log in to your library account and open the issued books section to view due dates."
"Will I get due date reminders?","Yes. Due date reminders may be sent by email or SMS if your contact details are updated."
"Can I return books after hours?","After-hours return is available only if the library has a book drop facility."
"Where is the circulation desk?","The circulation desk is located near the main entrance of the library."
"Where can I get help with research?","You can contact the reference librarian or visit the research support desk during working hours."
"Do you provide plagiarism checking?","Plagiarism checking may be available for students and faculty through approved institutional tools."
"Can I access past question papers?","Yes. Past question papers are available in the digital repository or reference section."
"Are dissertations available in the library?","Selected dissertations and project reports are available in the institutional repository."
"How do I reset my library portal password?","Use the Forgot Password option on the library portal or contact the library help desk."
"Can I change my registered email?","Yes. Submit an email update request with your ID proof at the library counter."
"What documents are needed for membership?","You need a valid student or employee ID, one photo, and a completed library membership form."
"Is there a quiet reading area?","Yes. The library has quiet reading zones where phone calls and group discussions are not allowed."
"Can I use mobile phones inside the library?","Phones should be kept on silent mode. Calls are allowed only in designated areas."
"Are lockers available?","Lockers or bag racks are available near the entrance for temporary use during library visits."
"What items are not allowed inside?","Large bags, food, drinks except covered water bottles, and personal books without permission may be restricted."
"Can I issue books during exam time?","Yes. Book issue services remain available during exams, but high-demand books may have shorter loan periods."
"How do I contact the librarian?","You can contact the librarian at the library help desk, by email, or through the contact page on the portal."
"What is the library email address?","Please use library@college.edu for general library support and service requests."
"Does the library have computers?","Yes. Library computers are available for catalog search, e-resources, and academic work."
"Can I download articles from databases?","Yes. You may download articles for academic use according to database license rules."
"Can I share my library login?","No. Your library login is personal and should not be shared with anyone."
"What should I do if the catalog is not working?","Try refreshing the page first. If the issue continues, report it to the library IT support desk."
"How are books arranged in the library?","Books are arranged by subject using classification numbers shown on the book spine labels."
"Can I request interlibrary loan?","Yes. Interlibrary loan requests can be submitted for books or articles not available in our library."
"How long does interlibrary loan take?","Interlibrary loan requests usually take 3 to 10 working days depending on the lending library."
"Can visitors use the library?","Visitor access requires prior permission from the librarian and a valid identity proof."
"Are library orientation sessions available?","Yes. Orientation sessions are held at the beginning of each semester and can also be requested by departments."
